name,country_code,cluster_name,aggr_ifr,ifr_per_100000
Argentina,ARG,Southern America,0.001453728758625778,145.37287586257779
Australia,AUS,Oceania-Melanesia-Polynesia,2.5376041684730007e-4,25.37604168473001
Fiji,FJI,Oceania-Melanesia-Polynesia,9.645403526683093e-5,9.645403526683094
New Caledonia,NCL,Oceania-Melanesia-Polynesia,1.595213116440937e-4,15.952131164409371
New Zealand,NZL,Oceania-Melanesia-Polynesia,2.474592832695843e-4,24.745928326958428
Solomon Islands,SLB,Oceania-Melanesia-Polynesia,7.289986050234636e-5,7.289986050234636
Tonga,TON,Oceania-Melanesia-Polynesia,1.1224001810340628e-4,11.224001810340628
Vanuatu,VUT,Oceania-Melanesia-Polynesia,7.794848094691429e-5,7.794848094691429
Samoa,WSM,Oceania-Melanesia-Polynesia,9.281871457266115e-5,9.281871457266115
Bahamas,BHS,Northern America,1.6998704258667567e-4,16.998704258667566
Belize,BLZ,Northern America,1.078465106739836e-4,10.784651067398359
Canada,CAN,Northern America,3.6848731197236084e-4,36.848731197236084
Cuba,CUB,Northern America,3.274424722451012e-4,32.74424722451012
Ecuador,ECU,Northern America,1.608515239190776e-4,16.085152391907762
Guatemala,GTM,Northern America,1.1014177104684824e-4,11.014177104684824
Honduras,HND,Northern America,9.074218907602578e-5,9.074218907602578
Mexico,MEX,Northern America,1.682266384421951e-4,16.82266384421951
Nicaragua,NIC,Northern America,1.107910950687938e-4,11.07910950687938
Peru,PER,Northern America,1.8846686839154897e-4,18.8466868391549
Puerto Rico,PRI,Northern America,4.1170886416554115e-4,41.17088641655411
United States,USA,Northern America,3.309686459319916e-4,33.09686459319916
Albania,ALB,Europe,7.967028439053754e-4,79.67028439053755
Austria,AUT,Europe,0.0010557910160471822,105.57910160471822
Belgium,BEL,Europe,0.0010405443432553697,104.05443432553697
Bulgaria,BGR,Europe,0.0011627542691563125,116.27542691563124
Bosnia & Herzegovina,BIH,Europe,8.915808452972931e-4,89.15808452972931
Belarus,BLR,Europe,8.77922756700067e-4,87.7922756700067
Switzerland,CHE,Europe,0.0010255143033891974,102.55143033891974
Czechia,CZE,Europe,0.0010378033622901782,103.78033622901782
Germany,DEU,Europe,0.0011852880256984246,118.52880256984245
Denmark,DNK,Europe,0.0010670619397458302,106.70619397458302
Algeria,DZA,Europe,3.6035157151521045e-4,36.03515715152105
Spain,ESP,Europe,0.001062834332509505,106.28343325095051
Estonia,EST,Europe,0.0010776195213114692,107.76195213114691
Finland,FIN,Europe,0.0011431959295430472,114.31959295430472
France,FRA,Europe,0.0010842647204393383,108.42647204393383
United Kingdom,GBR,Europe,0.0010183397812236431,101.83397812236431
Greece,GRC,Europe,0.0011762562028265798,117.62562028265799
Croatia,HRV,Europe,0.0011035694074497645,110.35694074497644
Hungary,HUN,Europe,0.0010378693008554199,103.78693008554198
Ireland,IRL,Europe,7.744493796344672e-4,77.44493796344672
Iceland,ISL,Europe,8.045164016567749e-4,80.45164016567749
Italy,ITA,Europe,0.0012389518642260738,123.89518642260738
Libya,LBY,Europe,3.2736075994182416e-4,32.736075994182414
Lithuania,LTU,Europe,0.0010975034224288182,109.75034224288181
Luxembourg,LUX,Europe,8.345765580992967e-4,83.45765580992966
Latvia,LVA,Europe,0.0011329985447708834,113.29985447708835
Morocco,MAR,Europe,3.939342230314767e-4,39.39342230314767
Moldova,MDA,Europe,6.889611567116385e-4,68.89611567116386
North Macedonia,MKD,Europe,7.585529468047045e-4,75.85529468047045
Malta,MLT,Europe,0.0010622592264601834,106.22592264601833
Montenegro,MNE,Europe,8.265192047287148e-4,82.65192047287148
Netherlands,NLD,Europe,0.0010237374427106763,102.37374427106764
Norway,NOR,Europe,9.396752617126183e-4,93.96752617126184
Poland,POL,Europe,9.067128675393503e-4,90.67128675393504
Portugal,PRT,Europe,0.0011632897990433418,116.32897990433418
Romania,ROU,Europe,9.715827288373207e-4,97.15827288373207
Serbia,SRB,Europe,0.0010980921301460553,109.80921301460553
Slovakia,SVK,Europe,8.392144364823237e-4,83.92144364823237
Slovenia,SVN,Europe,0.0010281325291583788,102.81325291583788
Sweden,SWE,Europe,0.0011109061087486724,111.09061087486724
Tunisia,TUN,Europe,4.835820301716629e-4,48.35820301716629
Ukraine,UKR,Europe,9.178340299000907e-4,91.78340299000907
Kosovo (under UNSC res. 1244),XKX,Europe,5.0950344746389e-4,50.95034474638899
Bolivia,BOL,Southern America,5.486081111808684e-5,5.486081111808684
Brazil,BRA,Southern America,8.19744768289739e-5,8.19744768289739
Barbados,BRB,Southern America,1.2603472258835544e-4,12.603472258835543
Chile,CHL,Southern America,1.089848977277925e-4,10.89848977277925
Colombia,COL,Southern America,7.508169624587779e-5,7.5081696245877785
Costa Rica,CRI,Southern America,8.8817779431171e-5,8.8817779431171
Dominican Republic,DOM,Southern America,6.564192682525582e-5,6.564192682525581
French Guiana,GUF,Southern America,5.242030875854514e-5,5.242030875854514
Guyana,GUY,Southern America,5.858817202143792e-5,5.8588172021437925
Haiti,HTI,Southern America,4.8267054115053154e-5,4.826705411505316
Jamaica,JAM,Southern America,6.787988743349578e-5,6.787988743349578
St. Lucia,LCA,Southern America,8.478601742964663e-5,8.478601742964663
Panama,PAN,Southern America,7.641741801718635e-5,7.641741801718634
Paraguay,PRY,Southern America,6.103936659222169e-5,6.103936659222169
El Salvador,SLV,Southern America,7.603637344451296e-5,7.603637344451296
Suriname,SUR,Southern America,6.727234444920725e-5,6.727234444920725
Trinidad & Tobago,TTO,Southern America,8.722047127329851e-5,8.722047127329851
Uruguay,URY,Southern America,1.4007414159023898e-4,14.007414159023897
St. Vincent & Grenadines,VCT,Southern America,9.564666843568041e-5,9.564666843568041
Venezuela,VEN,Southern America,6.882948938542879e-5,6.882948938542879
Bangladesh,BGD,Eastern and Southern Asia,1.6034882685576134e-4,16.034882685576132
Brunei,BRN,Eastern and Southern Asia,1.1695601804115391e-4,11.695601804115391
Bhutan,BTN,Eastern and Southern Asia,1.7939950597687653e-4,17.939950597687652
China,CHN,Eastern and Southern Asia,3.1606457711901926e-4,31.606457711901925
Hong Kong SAR China,HKG,Eastern and Southern Asia,3.562017599629722e-4,35.62017599629722
Indonesia,IDN,Eastern and Southern Asia,2.2041333580719003e-4,22.041333580719
India,IND,Eastern and Southern Asia,1.980492263648605e-4,19.80492263648605
Cambodia,KHM,Eastern and Southern Asia,1.9672032305406587e-4,19.672032305406585
South Korea,KOR,Eastern and Southern Asia,1.0050995010572406e-4,10.050995010572406
Laos,LAO,Eastern and Southern Asia,1.8174198112858123e-4,18.17419811285812
Sri Lanka,LKA,Eastern and Southern Asia,1.5664168374066885e-4,15.664168374066886
Macao SAR China,MAC,Eastern and Southern Asia,1.9369475819590518e-4,19.36947581959052
Maldives,MDV,Eastern and Southern Asia,1.057149919850685e-4,10.57149919850685
Myanmar (Burma),MMR,Eastern and Southern Asia,2.117562595259487e-4,21.17562595259487
Mongolia,MNG,Eastern and Southern Asia,5.262894821152118e-5,5.262894821152118
Malaysia,MYS,Eastern and Southern Asia,2.5931277135997073e-4,25.931277135997075
Nepal,NPL,Eastern and Southern Asia,2.290413729719858e-4,22.90413729719858
Philippines,PHL,Eastern and Southern Asia,3.4863871560730173e-4,34.863871560730175
Papua New Guinea,PNG,Eastern and Southern Asia,1.514371503294417e-4,15.143715032944169
North Korea,PRK,Eastern and Southern Asia,1.8568543309544085e-4,18.568543309544086
Russia,RUS,Eastern and Southern Asia,2.4723864982741437e-4,24.723864982741436
Singapore,SGP,Eastern and Southern Asia,3.528556694824658e-4,35.285566948246576
Thailand,THA,Eastern and Southern Asia,3.920864134368564e-4,39.20864134368564
Timor-Leste,TLS,Eastern and Southern Asia,2.2563177815613882e-4,22.56317781561388
Vietnam,VNM,Eastern and Southern Asia,1.2925530268427998e-4,12.925530268427998
Japan,JPN,Eastern and Southern Asia,3.593155294929506e-4,35.93155294929506
"China, Taiwan Province of China",TWN,Eastern and Southern Asia,1.0562442745894163e-4,10.562442745894163
Angola,AGO,Africa,2.464402703113492e-4,24.64402703113492
Burundi,BDI,Africa,2.2214717802468593e-4,22.214717802468595
Benin,BEN,Africa,2.9873085823898203e-4,29.873085823898204
Burkina Faso,BFA,Africa,3.0178153605772457e-4,30.178153605772458
Botswana,BWA,Africa,2.8285119509442996e-4,28.285119509442996
Central African Republic,CAF,Africa,2.4294169704873388e-4,24.294169704873386
Côte d’Ivoire,CIV,Africa,2.305424639917583e-4,23.05424639917583
Cameroon,CMR,Africa,3.0516337420201595e-4,30.516337420201594
Congo - Kinshasa,COD,Africa,2.6975996133938364e-4,26.975996133938363
Congo - Brazzaville,COG,Africa,2.702640139001885e-4,27.02640139001885
Comoros,COM,Africa,4.0251462541818835e-4,40.25146254181883
Cape Verde,CPV,Africa,5.091826399072997e-4,50.918263990729976
Ethiopia,ETH,Africa,2.5107672689708867e-4,25.107672689708867
Gabon,GAB,Africa,2.880830962880168e-4,28.80830962880168
Ghana,GHA,Africa,3.202786674695243e-4,32.027866746952434
Guinea,GIN,Africa,2.8641390814909093e-4,28.641390814909094
Gambia,GMB,Africa,2.642861584466028e-4,26.428615844660282
Guinea-Bissau,GNB,Africa,2.2239345655470738e-4,22.23934565547074
Equatorial Guinea,GNQ,Africa,2.5886637056228795e-4,25.886637056228796
Kenya,KEN,Africa,2.5165177111140843e-4,25.165177111140842
Liberia,LBR,Africa,2.717693211875886e-4,27.176932118758863
Lesotho,LSO,Africa,3.5330990007992444e-4,35.33099000799245
Madagascar,MDG,Africa,2.6396390544419416e-4,26.396390544419415
Mali,MLI,Africa,2.657664730315671e-4,26.57664730315671
Mozambique,MOZ,Africa,3.018344333218952e-4,30.18344333218952
Mauritania,MRT,Africa,2.6645802871938794e-4,26.645802871938795
Mauritius,MUS,Africa,3.0209275447148833e-4,30.209275447148833
Malawi,MWI,Africa,3.6151988542097567e-4,36.15198854209757
Namibia,NAM,Africa,3.719644145670787e-4,37.19644145670787
Niger,NER,Africa,2.6905436821374526e-4,26.905436821374526
Nigeria,NGA,Africa,2.846038627869591e-4,28.46038627869591
Sudan,SDN,Africa,2.689749999507455e-4,26.897499995074547
Senegal,SEN,Africa,2.569173100103166e-4,25.69173100103166
Sierra Leone,SLE,Africa,2.990812464367898e-4,29.908124643678978
South Sudan,SSD,Africa,2.6128876071501673e-4,26.128876071501672
São Tomé & Príncipe,STP,Africa,3.1482125794066396e-4,31.482125794066395
Eswatini,SWZ,Africa,3.2702224353416554e-4,32.702224353416554
Chad,TCD,Africa,2.53014916448686e-4,25.3014916448686
Togo,TGO,Africa,2.72123896750249e-4,27.2123896750249
Tanzania,TZA,Africa,3.153440999359088e-4,31.534409993590877
Uganda,UGA,Africa,2.472140974997675e-4,24.721409749976747
South Africa,ZAF,Africa,5.398110878204017e-4,53.981108782040174
Zambia,ZMB,Africa,2.6033697444999336e-4,26.033697444999337
Zimbabwe,ZWE,Africa,3.1235091017442056e-4,31.235091017442056
Somalia,SOM,Africa,2.756938296816448e-4,27.569382968164483
Afghanistan,AFG,Asia-Europe,1.197550203823189e-4,11.97550203823189
United Arab Emirates,ARE,Asia-Europe,1.4438972253928316e-5,1.4438972253928317
Armenia,ARM,Asia-Europe,8.668651383930569e-5,8.66865138393057
Azerbaijan,AZE,Asia-Europe,1.078922087955085e-4,10.78922087955085
Bahrain,BHR,Asia-Europe,2.6123492842643863e-5,2.6123492842643863
Cyprus,CYP,Asia-Europe,1.1558741162529642e-4,11.558741162529643
Djibouti,DJI,Asia-Europe,1.3674712295057864e-4,13.674712295057864
Egypt,EGY,Asia-Europe,1.817027279726206e-4,18.17027279726206
Eritrea,ERI,Asia-Europe,1.4811814330170046e-4,14.811814330170046
Georgia,GEO,Asia-Europe,1.1470420159095349e-4,11.47042015909535
Iran,IRN,Asia-Europe,7.988131146015811e-5,7.988131146015811
Iraq,IRQ,Asia-Europe,1.2207004201138297e-4,12.207004201138297
Israel,ISR,Asia-Europe,8.841549620884857e-5,8.841549620884857
Jordan,JOR,Asia-Europe,5.30278446785866e-5,5.30278446785866
Kazakhstan,KAZ,Asia-Europe,1.091445855476712e-4,10.914458554767121
Kyrgyzstan,KGZ,Asia-Europe,3.4704508716737496e-5,3.4704508716737497
Kuwait,KWT,Asia-Europe,5.1748054707327366e-5,5.1748054707327364
Lebanon,LBN,Asia-Europe,5.0748679271542154e-5,5.074867927154216
Oman,OMN,Asia-Europe,5.922921406911939e-5,5.922921406911939
Pakistan,PAK,Asia-Europe,1.1044792761908363e-4,11.044792761908363
Palestinian Territories,PSE,Asia-Europe,4.9675630730710785e-5,4.967563073071078
Qatar,QAT,Asia-Europe,1.1826725062982505e-5,1.1826725062982506
Rwanda,RWA,Asia-Europe,1.3560164308043204e-4,13.560164308043204
Saudi Arabia,SAU,Asia-Europe,6.044837191445688e-5,6.044837191445688
Syria,SYR,Asia-Europe,5.878489850124786e-5,5.878489850124786
Tajikistan,TJK,Asia-Europe,1.4141099735747747e-4,14.141099735747746
Turkmenistan,TKM,Asia-Europe,9.525280369058316e-5,9.525280369058317
Turkey,TUR,Asia-Europe,8.616366607004036e-5,8.616366607004036
Uzbekistan,UZB,Asia-Europe,8.987600965054977e-5,8.987600965054977
Yemen,YEM,Asia-Europe,1.4152547334937536e-4,14.152547334937536
