country_code,median,lower95,upper95
ARG,111.49995749751766,84.32659572998924,146.04044860014028
AUS,14.945426880402914,8.877028373325114,29.719438711745894
FJI,14.945426880402914,8.877028373325114,29.719438711745894
NCL,14.945426880402914,8.877028373325114,29.719438711745894
NZL,14.945426880402914,8.877028373325114,29.719438711745894
SLB,14.945426880402914,8.877028373325114,29.719438711745894
TON,14.945426880402914,8.877028373325114,29.719438711745894
VUT,14.945426880402914,8.877028373325114,29.719438711745894
WSM,14.945426880402914,8.877028373325114,29.719438711745894
BHS,19.516478687126597,13.685871601201512,30.06950655572633
BLZ,19.516478687126597,13.685871601201512,30.06950655572633
CAN,19.516478687126597,13.685871601201512,30.06950655572633
CUB,19.516478687126597,13.685871601201512,30.06950655572633
ECU,19.516478687126597,13.685871601201512,30.06950655572633
GTM,19.516478687126597,13.685871601201512,30.06950655572633
HND,19.516478687126597,13.685871601201512,30.06950655572633
MEX,19.516478687126597,13.685871601201512,30.06950655572633
NIC,19.516478687126597,13.685871601201512,30.06950655572633
PER,19.516478687126597,13.685871601201512,30.06950655572633
PRI,19.516478687126597,13.685871601201512,30.06950655572633
USA,19.516478687126597,13.685871601201512,30.06950655572633
ALB,53.99996757833677,18.392608900986648,98.22610738536963
AUT,53.99996757833677,18.392608900986648,98.22610738536963
BEL,53.99996757833677,18.392608900986648,98.22610738536963
BGR,53.99996757833677,18.392608900986648,98.22610738536963
BIH,53.99996757833677,18.392608900986648,98.22610738536963
BLR,53.99996757833677,18.392608900986648,98.22610738536963
CHE,53.99996757833677,18.392608900986648,98.22610738536963
CZE,53.99996757833677,18.392608900986648,98.22610738536963
DEU,53.99996757833677,18.392608900986648,98.22610738536963
DNK,53.99996757833677,18.392608900986648,98.22610738536963
DZA,53.99996757833677,18.392608900986648,98.22610738536963
ESP,53.99996757833677,18.392608900986648,98.22610738536963
EST,53.99996757833677,18.392608900986648,98.22610738536963
FIN,53.99996757833677,18.392608900986648,98.22610738536963
FRA,53.99996757833677,18.392608900986648,98.22610738536963
GBR,53.99996757833677,18.392608900986648,98.22610738536963
GRC,53.99996757833677,18.392608900986648,98.22610738536963
HRV,53.99996757833677,18.392608900986648,98.22610738536963
HUN,53.99996757833677,18.392608900986648,98.22610738536963
IRL,53.99996757833677,18.392608900986648,98.22610738536963
ISL,53.99996757833677,18.392608900986648,98.22610738536963
ITA,53.99996757833677,18.392608900986648,98.22610738536963
LBY,53.99996757833677,18.392608900986648,98.22610738536963
LTU,53.99996757833677,18.392608900986648,98.22610738536963
LUX,53.99996757833677,18.392608900986648,98.22610738536963
LVA,53.99996757833677,18.392608900986648,98.22610738536963
MAR,53.99996757833677,18.392608900986648,98.22610738536963
MDA,53.99996757833677,18.392608900986648,98.22610738536963
MKD,53.99996757833677,18.392608900986648,98.22610738536963
MLT,53.99996757833677,18.392608900986648,98.22610738536963
MNE,53.99996757833677,18.392608900986648,98.22610738536963
NLD,53.99996757833677,18.392608900986648,98.22610738536963
NOR,53.99996757833677,18.392608900986648,98.22610738536963
POL,53.99996757833677,18.392608900986648,98.22610738536963
PRT,53.99996757833677,18.392608900986648,98.22610738536963
ROU,53.99996757833677,18.392608900986648,98.22610738536963
SRB,53.99996757833677,18.392608900986648,98.22610738536963
SVK,53.99996757833677,18.392608900986648,98.22610738536963
SVN,53.99996757833677,18.392608900986648,98.22610738536963
SWE,53.99996757833677,18.392608900986648,98.22610738536963
TUN,53.99996757833677,18.392608900986648,98.22610738536963
UKR,53.99996757833677,18.392608900986648,98.22610738536963
XKX,53.99996757833677,18.392608900986648,98.22610738536963
BOL,8.877575558732882,4.57120920392534,17.356852940628908
BRA,8.877575558732882,4.57120920392534,17.356852940628908
BRB,8.877575558732882,4.57120920392534,17.356852940628908
CHL,8.877575558732882,4.57120920392534,17.356852940628908
COL,8.877575558732882,4.57120920392534,17.356852940628908
CRI,8.877575558732882,4.57120920392534,17.356852940628908
DOM,8.877575558732882,4.57120920392534,17.356852940628908
GUF,8.877575558732882,4.57120920392534,17.356852940628908
GUY,8.877575558732882,4.57120920392534,17.356852940628908
HTI,8.877575558732882,4.57120920392534,17.356852940628908
JAM,8.877575558732882,4.57120920392534,17.356852940628908
LCA,8.877575558732882,4.57120920392534,17.356852940628908
PAN,8.877575558732882,4.57120920392534,17.356852940628908
PRY,8.877575558732882,4.57120920392534,17.356852940628908
SLV,8.877575558732882,4.57120920392534,17.356852940628908
SUR,8.877575558732882,4.57120920392534,17.356852940628908
TTO,8.877575558732882,4.57120920392534,17.356852940628908
URY,8.877575558732882,4.57120920392534,17.356852940628908
VCT,8.877575558732882,4.57120920392534,17.356852940628908
VEN,8.877575558732882,4.57120920392534,17.356852940628908
BGD,18.335071577507005,4.523792554099061,51.80556607238607
BRN,21.68436997815688,7.435713620709234,62.834581581789536
BTN,24.10370812181856,8.029564242081257,55.44446139070908
CHN,26.458259404728107,17.87279409776254,36.86092249767497
HKG,19.19745015997727,15.664760139675048,22.496194935225706
IDN,28.19730866055896,9.037493341651771,66.59245615615703
IND,26.830340705789922,18.198917294999738,38.05351163182715
KHM,30.386219524480364,11.343520270015675,67.30071527391453
KOR,6.463741052883529,4.003604174552359,10.325881714356203
LAO,29.34952789764587,11.402315135155154,56.35572960562136
LKA,15.46927620902365,4.67729882760326,34.871130713969976
MAC,17.916023883466334,11.59112431897717,26.091038621160106
MDV,20.911455180458038,6.380799272841885,49.60048405830348
MMR,29.440482707265897,9.05329188923178,56.22951805554211
MNG,7.253920905796865,4.300613552694278,12.553321698715097
MYS,35.752506376442376,13.264961606323515,83.5474019360723
NPL,32.02934459228544,15.203705457783323,66.06791614252677
PHL,52.534902742895,28.961889590757636,83.72918849837176
PNG,26.252464639243343,13.570633683519052,55.69844781222838
PRK,16.1854867679847,5.835844952467463,33.70711587273057
RUS,18.11681923376417,9.008128140039636,28.002750661419665
SGP,32.223979201058405,28.174427750805886,35.941950370569906
THA,31.19307450857395,13.814734580285261,58.58481005567458
TLS,32.189866606865145,10.65165131475933,61.56259349109042
VNM,14.445015886258943,6.019363249522438,33.07606203350378
JPN,11.314750929461873,8.947660445669683,13.322939116301951
TWN,7.425757815268465,5.187276140391009,9.908311839858678
AGO,42.2704995373962,20.395543793723178,87.7953105483391
BDI,41.61148899750372,14.039323994279073,92.31291511358837
BEN,51.95044548175796,23.940604957705453,108.74967580133642
BFA,44.9849180007719,20.68079701038913,98.86045647126754
BWA,47.06854127605513,22.08273357468386,117.2975042379497
CAF,42.02640246967724,18.400749401486202,104.12465440680259
CIV,41.11139976451073,19.645164480033813,84.46931314538934
CMR,51.45967586445573,23.000058362784657,105.19446202689329
COD,54.31744204394365,21.70343659349101,111.89808598691617
COG,48.18832086994276,12.65258347015227,94.26618276775169
COM,56.319631543060915,19.959976962947994,129.44225244079945
CPV,74.89438542912858,30.130710608632334,141.06864334818087
ETH,50.44854783288518,18.788771538883154,118.81802711547402
GAB,47.79936911667075,17.194713032588233,101.57981582406259
GHA,59.892600187133276,23.47950170598656,129.2690136828068
GIN,49.9511753239581,19.778842298728833,124.29233687831487
GMB,43.08764610161751,17.092646189496772,115.51884391142943
GNB,39.83931070956061,18.086996390584034,83.60752648054059
GNQ,42.64661853389126,18.017220710320228,80.18502389420266
KEN,49.16356172001503,15.086463894602115,110.50223819463146
LBR,45.793697408953406,22.11973164004053,97.64147070737566
LSO,61.512340545578034,20.635651680592932,119.69259744275574
MDG,46.07683072277157,18.92899541815232,103.57897056718375
MLI,37.979965513382346,15.037384557459681,81.86289566303718
MOZ,51.055999246895595,18.385707982535205,106.07576552097231
MRT,49.1949539833542,20.088976868227554,93.95108984088101
MUS,26.956710663998813,11.951109172920543,48.5223064604518
MWI,65.00743779496983,18.72538420067435,136.50705694196503
NAM,58.34791572999177,20.411262920868484,112.51042024516691
NER,40.15090484757233,17.78318379778316,78.09873969043718
NGA,44.080380235776026,21.671544859806442,100.24798179812831
SDN,44.19275110068491,18.75472929828932,95.77468066278695
SEN,41.93372395479772,15.34837473178659,87.56902055928359
SLE,49.90380438209378,18.99274479554075,103.14679181574887
SSD,42.0587668902666,16.448266993801894,80.08089265782512
STP,54.58391196284547,29.42175613821583,117.57669987036009
SWZ,56.94648294652452,23.849749106265712,107.60466741650343
TCD,41.09389181069873,15.851433451524077,85.6001832340832
TGO,44.53167901319693,17.460262369576984,93.15995039480306
TZA,54.824315186060346,16.67811009623808,106.05652645053559
UGA,42.51780454875031,18.18077289270165,81.20192108311828
ZAF,67.3339604515495,58.151199756571366,83.94823586811043
ZMB,45.32025236346199,16.61261189807462,106.5824787284653
ZWE,56.801714855900116,17.437541705434874,146.99634696089623
SOM,47.697710610594434,15.20778234799928,99.05535087019652
AFG,21.28730715555371,10.266617146572582,49.140539090953034
ARE,8.049718089949103,3.1758220187573403,15.445347410648951
ARM,7.0240646368623425,2.408099252552322,20.533195140698364
AZE,12.251847828726723,3.7557464372490243,30.099503281205642
BHR,6.040534990660206,2.228542579223164,14.583072092995005
CYP,7.923888207759857,1.7868472486992761,22.418038947000618
DJI,20.63928717262439,7.119147342677374,40.67533216784086
EGY,27.182650808544945,11.045081960826236,59.6462936350959
ERI,25.51601823082329,9.128478905091796,41.7224635216971
GEO,7.596776706063102,3.3265357101949182,22.30857665252341
IRN,10.277694298625706,5.7333233899765785,20.359676386432344
IRQ,15.96163452085744,4.205682706591872,35.1791860775898
ISR,6.878497117502138,5.219169836720509,8.735460379176658
JOR,10.386958021650612,3.3846485879256467,21.74584045273781
KAZ,12.010096033446162,5.742590469911484,20.450997006489605
KGZ,4.469158718864539,1.5768331190953384,9.14471644385127
KWT,12.216645599539914,6.953188124859095,20.89875201885796
LBN,5.720302784054161,1.992252016824013,15.45928357507909
OMN,14.697559890412043,4.514322740575042,31.90121973006173
PAK,12.946811189346953,3.365191844224033,31.210859837323536
PSE,9.67304122551913,4.236564779884091,16.42002979331147
QAT,2.658403859290954,0.9314368826236556,6.679922825363971
RWA,26.881370167956398,11.57347038326423,50.345413443565974
SAU,15.43239483873123,5.389462344662263,31.58255245741729
SYR,9.891817894874196,4.030681754838245,23.047567138641192
TJK,22.084313773199298,10.091665518538443,49.34215205294299
TKM,11.699318979375615,4.561115133601771,32.84095719680666
TUR,9.98212454294227,3.8335815540062734,18.923717210103746
UZB,11.007377476697293,6.04530532984751,19.808106642108545
YEM,24.528170542776614,8.436829533432455,49.66380134706405
